PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, ,type,title,author,journal,volume,pages,year,publisher
7047,"Buckman, S.S.",1899,no article title available,"Ammonites of the Inferior Oolite Series, pt.11,supp.","Ammonites of the Inferior Oolite Series, pt.11,su",,,,15,, ,no result
8613,"Parsley, R.L. and Mintz, L.W.",1975,no article title available,Bulls. Am. Paleontology,Bulls. Am. Paleontology,68,288,86,,, ,no result
8074,"Brower, J.C. and Veinus, J.",1974,no article title available,"Bulls.Am.Paleontology,","Bulls.Am.Paleontology,",66,283,98,102,, ,no result
8969,"Ruedemann, R.",1934,Paleozoic Plankton of North America,Geol.Soc.Amer.Mem. 2,Geol.Soc.Amer.Mem. 2,,,92,93,, ,no result
9347,"Gould, S.J. and Schindel, D.E.",1977,no article title available,Paleobiology,Paleobiology,3,3,261,,, ,no result
5801,"Grant, U.S. and Hertlein, L.G.",1938,no article title available,Calif.Univ.Pub.Math.Phys.Sci.,Calif.Univ.Pub.Math.Phys.Sci.,2,,104,,, ,no result
2037,"Lambert, A.E. and C.H. Hitchcock",1905,"A Trilobite (Dalmanites lunatus) from Littleton, N.H., with notes on other fossils from the same locality","A Trilobite (Dalmanites lunatus) from Littleton, N.H., with notes on other fossils from the same locality.","A Trilobite (Dalmanites lunatus) from Littleton, ",,,36,37,, ,no result
4769,"Pojeta, J. and Runnegar, B.",1976,no article title available,U.S. Geol.Survey Prof.Paper 968,U.S. Geol.Survey Prof.Paper 968,,,76,77,, ,no result
2818,"Okulitch, V.J.",1935,CyathospongiaóA new class of Porifera to include Archaeocyathinae,Royal Soc.Canada Trans. 3rd ser.,Royal Soc.Canada Trans. 3rd ser.,29,,101,,, ,no result
4863,"Walcott, C.D.",1889,no article title available,U.S.Natl.Mus.Proc.,U.S.Natl.Mus.Proc.,12,775,365,,, ,no result
4865,"Miller, S.A.",1874,no article title available,Cincinnati Quart.Jour.Sci.,Cincinnati Quart.Jour.Sci.,1,4,347,,, ,article,Notes and Descriptions of Cincinnati Group Fossils,"Miller, SA",Cincinnati Quart. Jour. Sci,1,,1874,
3358,"Ulrich, E.O. and Scofield, W.H.",1897,no article title available,Minnesota Geol.Nat.Hist.Survey Final Report,Minnesota Geol.Nat.Hist.Survey Final Report,3,,823,,, ,no result
6049,"Wills, L.",1964,no article title available,"Palaeontology,","Palaeontology,",7,,476,9,, ,article,"Cyprilepas holmi Wills 1962, a pedunculate cirripede from the Upper Silurian of Oesel, Esthonia","Wills, LJ",Palaeontology,6,161--165,1963,
2331,"Whittington, H.B.",1968,"The Ordovician Trilobites of the Bala Area, Merioneth","Paleontographical Soc.London Mono. Part IV,","Paleontographical Soc.London Mono. Part IV,",122,520,104,,, ,no result
2352,"Bruton, D.L.",1968,no article title available,Skrifter Utgitt av Det Norske Videnskaps-Akademi I Oslo. I Mat.-Naturv. Klasse. Ny Serie. No. 25,Skrifter Utgitt av Det Norske Videnskaps-Akademi ,,,38,42,, ,no result
1740,"Ristedt, H.",1971,no article title available,"Palaeontographica Abt. A,","Palaeontographica Abt. A,",137,,189,,, ,no result
867,"Walcott, C.D.",1883,no article title available,Albany Inst.Trans.,Albany Inst.Trans.,10,,20,,, ,no result
3557,"Clark, T.H.",1923,no article title available,Canadian Field Naturalist,Canadian Field Naturalist,37,7,121,122,, ,article,"A group of new species of Agnostus from Levis, Quebec","Clark, TH",Canadian Field Naturalist,37,121--125,1923,
3631,"Scudder, S. H.",1884,no article title available,Boston Soc.Nat.Hist.Mem.,Boston Soc.Nat.Hist.Mem.,3,9,283,,, ,no result
1067,"Kammer, T.W. and Gahn, F.J.",2003,no article title available,Jour. Paleontology,Jour. Paleontology,1,1,131,,, ,no result
1721,"Rich, M.",1966,no article title available,"J. of Paleontology,","J. of Paleontology,",40,6,1381,1384,, ,no result
1242,"Hyatt, A.",1894,no article title available,Am.Philos.Soc.Proc.,Am.Philos.Soc.Proc.,32,143,475,,, ,no result
1426,"Saemann, L.",1853,no article title available,"Palaeontographica,v.III","Palaeontographica,v.III",,,166,,, ,no result
4091,"Pojeta, J and Runnegar, B.",1974,no article title available,Am.Scientist,Am.Scientist,62,6,709,,, ,no result
5663,"Hall, J.",1871,Description of new species of Crinoidea and other fossils from strata of the age of the Hudson-River Group and Trenton limestone,Advance copy of 24th Rept.on State Cab.Nat.History,Advance copy of 24th Rept.on State Cab.Nat.Histor,,,3,,, ,no result
1449,"Whiteley, T.E.",1997,no article title available,American Paleontologist,American Paleontologist,5,2,,,, ,article,"Fossil lagerst{\""a","Whiteley, TE and Kloc, GL",American Paleontologist,7,2--3,1999,
5685,"Bell, B.M.",1976,no article title available,New York State Mus.and Sci.Service Mem.21,New York State Mus.and Sci.Service Mem.21,,,116,,, ,no result
9131,"Mutvei, H.",1964,no article title available,Arkiv for Zoologi,Arkiv for Zoologi,,,398,,, ,no result
6343,"Flower, R.H.",1942,no article title available,"Jour.Paleontology,","Jour.Paleontology,",27,105,19,,, ,no result
6404,"Whittington, H.B.",1961,A natural history of trilobites,Smithsonian Inst.Ann.Rept. 1961,Smithsonian Inst.Ann.Rept. 1961,,,409,,, ,no result
7645,"Resser, C.E.",1937,no article title available,Jour.Paleontology,Jour.Paleontology,11,1,52,53,, ,no result
8595,"Rogers, W.B.",1854,no article title available,Boston Soc.Nat.Hist.Proc.,Boston Soc.Nat.Hist.Proc.,5,,14,18,, ,no result
9439,"Budil, P., Horbinger,F. and R. Mencl",2009,no article title available,"EARTH ENV. SCI. TRANS. ROYAL SOC. EDINBURGH,","EARTH ENV. SCI. TRANS. ROYAL SOC. EDINBURGH,",99,,76,,, ,no result
6748,"Miller, A.K., Dunbar, C.O. and Condra, G.E.",1933,"The nautiloid cephalopods of the Pennsylvanian system in the Midcontinent
region","Nebraska Geol. Surv. Bull. ser. 2,","Nebraska Geol. Surv. Bull. ser. 2,",,,195,,, ,no result
7089,"Macurda, D.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,1,103,18,, ,no result
7714,"Johnson, C.W.",1910,no article title available,Nautilus,Nautilus,24,1,11,12,, ,article,Ancyli adhering to water beetles,"Johnson, CW",Nautilus,17,120,1904,
7758,"Raymond, P.E.",1921,no article title available,Boston Soc.Nat.Hist.Proc.,Boston Soc.Nat.Hist.Proc.,36,36,168,,, ,no result
8747,"Bohaty,J.",2009,no article title available,Jour. Paleontology,Jour. Paleontology,83,1,49,,, ,no result
5336,"Jackson, R.T. and T.A. Jaggar",1896,Studies of <i>Melonites multiporus</i>,Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,7,,137,,, ,no result
2039,"Moore, R.C.",1957,no article title available,Treatise on Invertebrate Paleontology,Treatise on Invertebrate Paleontology,,,,,, ,article,Inarticulata,"Rowell, AJ and Moore, RC","Brachiopoda.-Treatise on Invertebrate Paleontology, Geological Society of America, New York, and University of Kansas, Lawrence, Part H",,260--296,1965,
2739,"Grabau, A. W.",1900,no article title available,Boston Soc.Nat.Hist. Occasional Papers,Boston Soc.Nat.Hist. Occasional Papers,4,,681,694,, ,no result
4868,"Osgood, R.G.,Jr.",1970,Trace Fossils of the Cincinnati Area,Palaeontographica Americana,Palaeontographica Americana,6,41,296,,, ,no result
4998,"Arnold, B.W., H.L. Clark and H.L. Hawkins",1927,Jamaican fossil Echini. With descriptions of new species of Cainozoic Echinoidea.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,50,1,63,64,, ,no result
5867,"Raymond, P.E. and D.C. Barton",1913,A revision of the American species of <i>Ceraurus</i>,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,54,20,534,535,, ,no result
1423,"Hyatt, A.",1893,no article title available,Geological Survey of Texas (1892),Geological Survey of Texas (1892),,,439,440,, ,no result
4359,"Geinitz, H.B.",1866,no article title available,Carbonformation und Dyas in Nebraska,Carbonformation und Dyas in Nebraska,,,64,,, ,no result
4404,"Kummel, B.",1966,"The lower Triassic formations of the Salt Range and Trans-Indus Ranges, West Pakistan","Bull. of the MCZ,","Bull. of the MCZ,",134,10,393,394,, ,no result
3954,"Hyatt, A.",1889,Genesis of the Arietidae.,"Memoirs of the MCZ,","Memoirs of the MCZ,",16,3,65,66,, ,no result
4463,"Whittington, H.B.",1940,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,238,4,247,,, ,no result
2266,"Albritton, C.C., Jr.",1937,"Upper Jurassic and Lower Cretaceous ammonites of the Malone Mountains, Trans-Pecos Texas","Bull. of the MCZ,","Bull. of the MCZ,",80,10,393,5,, ,no result
864,"Ruedemann, R.",1930,no article title available,"Am.Jour.Sci.,ser.5,","Am.Jour.Sci.,ser.5,",20,118,308,311,, ,no result
2350,"Hall, J. and Whitfield, R.P.",1877,no article title available,"United States Geol.Explo. Fortieth Parallel. Clarence King, Geologist in charge.",United States Geol.Explo. Fortieth Parallel. Clar,4,2,226,,, ,no result
2373,"Rolfe, W.D.I.",1963,no article title available,Jour.Paleontology,Jour.Paleontology,37,2,486,,, ,no result
3553,"Rolfe, W.D.I.",1969,no article title available,The Treatise on Invertebrate Paleontology pt.R,The Treatise on Invertebrate Paleontology pt.R,,,,,, ,article,"Phyllocarida, p. T295--T331","Rolfe, WDI","Treatise on Invertebrate Paleontology, Pt. R, Arthropoda",4,,1969,
1615,"Meek, F.B.",1873,no article title available,Ohio Geol.Survey,Ohio Geol.Survey,1,,,,, ,no result
4100,"Rogers, W.B. and Rogers, H.B.",1837,no article title available,Am.Philos.Soc.Trans.,Am.Philos.Soc.Trans.,5,14,333,,, ,no result
1876,"Meek, F.B. and A.H. Worthen",1866,no article title available,Illinois Geol.Survey,Illinois Geol.Survey,2,,173,,, ,no result
3976,"Clark, T.H.",1917,New Blastoids and Brachiopods from the Rocky Mountains,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,61,9,377,,, ,no result
1755,"Schweitzer, C.E. and Feldmann, R.M.",2000,no article title available,Contr.Zoology,Contr.Zoology,69,4,6,,, ,no result
1120,"Haugh, B.N.",1975,no article title available,"Jour.Paleontology,","Jour.Paleontology,",49,3,483,,, ,no result
4140,"Flower, R.H.",1968,no article title available,"New Mexico Bur.Mines and Mineral Resources Mem.19,Part I",New Mexico Bur.Mines and Mineral Resources Mem.19,,,8,9,, ,no result
4162,"Parsley, R.L.",1998,no article title available,Vestnik Ceskeho geologickeho ustavu,Vestnik Ceskeho geologickeho ustavu,73,3,258,260,, ,no result
4262,"Newell, F.H.",1888,no article title available,Boston Soc.Nat.Hist.,Boston Soc.Nat.Hist.,23,,484,,, ,no result
1290,"Ulrich, E.O.",1879,no article title available,Cincinnati Soc.Nat.Hist.Jour.,Cincinnati Soc.Nat.Hist.Jour.,2,1,9,,, ,no result
1420,"DeKoninck, L.G.",1851,no article title available,Descr. de Animaux Fossiles...Carbonaire de Belgique,Descr. de Animaux Fossiles...Carbonaire de Belgiq,,,710,1,, ,no result
2667,"Cleaves, A.B. and Fox, E.F.",1935,"Geology of the West End of Ymer Island, East Greenland",Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,46,,473,,, ,no result
